"id","name","timestamp","data","register_datetime"
104695,yts,1750178398,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,61.591076,877.033875,2.164096""}",2025-06-17 13:40:01.091 -0300
104231,yts,1750108204,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,72.258850,871.561768,2.166446""}",2025-06-16 18:10:06.894 -0300
104535,yts,1750154201,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,65.973267,864.616760,2.163127""}",2025-06-17 06:56:44.236 -0300
104699,yts,1750178998,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,53.468376,877.860718,2.163976""}",2025-06-17 13:50:01.261 -0300
104235,yts,1750108804,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,72.765633,871.160339,2.166441""}",2025-06-16 18:20:06.827 -0300
104539,yts,1750154801,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,60.557587,874.472046,2.163181""}",2025-06-17 07:06:43.893 -0300
104703,yts,1750179598,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,53.837475,876.288940,2.163928""}",2025-06-17 14:00:01.210 -0300
104807,yts,1750195395,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,55.264606,872.067749,2.164412""}",2025-06-17 18:23:18.025 -0300
104239,yts,1750109404,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,71.091370,869.692444,2.166422""}",2025-06-16 18:30:06.665 -0300
104543,yts,1750155401,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,49.293354,871.718750,2.163151""}",2025-06-17 07:16:44.085 -0300
104707,yts,1750180198,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,58.996761,868.450317,2.163751""}",2025-06-17 14:10:01.190 -0300
104547,yts,1750156001,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,64.084511,865.724060,2.163105""}",2025-06-17 07:26:44.299 -0300
104811,yts,1750195995,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,70.839455,875.553650,2.164497""}",2025-06-17 18:33:18.132 -0300
104243,yts,1750110004,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,73.152687,870.223633,2.166383""}",2025-06-16 18:40:06.902 -0300
104711,yts,1750180798,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,54.670437,864.228699,2.163728""}",2025-06-17 14:20:01.419 -0300
104551,yts,1750156601,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,67.066010,860.305115,2.163161""}",2025-06-17 07:36:44.153 -0300
104247,yts,1750110604,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,69.813324,873.908081,2.166410""}",2025-06-16 18:50:07.994 -0300
104715,yts,1750181398,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,71.472176,859.890991,2.163696""}",2025-06-17 14:30:01.455 -0300
104555,yts,1750157201,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,62.063618,861.135254,2.163234""}",2025-06-17 07:46:44.345 -0300
104719,yts,1750181998,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,64.966988,863.177612,2.163651""}",2025-06-17 14:40:01.377 -0300
104251,yts,1750111204,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,72.605934,872.769531,2.166405""}",2025-06-16 19:00:07.056 -0300
104559,yts,1750157801,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,58.898552,864.722595,2.163220""}",2025-06-17 07:56:44.645 -0300
104371,yts,1750129401,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,51.403736,864.299194,2.160536""}",2025-06-17 00:03:23.638 -0300
104255,yts,1750111804,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,70.562721,874.353821,2.166435""}",2025-06-16 19:10:06.813 -0300
104375,yts,1750130001,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,50.554073,869.471375,2.160322""}",2025-06-17 00:13:25.000 -0300
104563,yts,1750158401,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,57.603561,860.993286,2.163249""}",2025-06-17 08:06:44.507 -0300
104723,yts,1750182598,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,63.369507,861.540039,2.163652""}",2025-06-17 14:50:02.520 -0300
104259,yts,1750112404,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,73.853699,871.739502,2.166491""}",2025-06-16 19:20:06.999 -0300
104815,yts,1750196595,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,66.365112,870.549561,2.164423""}",2025-06-17 18:43:18.007 -0300
104567,yts,1750159001,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,59.147152,869.440674,2.163339""}",2025-06-17 08:16:44.511 -0300
104727,yts,1750183198,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,58.556747,873.182190,2.163707""}",2025-06-17 15:00:01.482 -0300
104263,yts,1750113004,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,71.453232,873.644287,2.166507""}",2025-06-16 19:30:06.772 -0300
104267,yts,1750113604,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,74.961487,872.899841,2.166516""}",2025-06-16 19:40:07.237 -0300
104571,yts,1750159602,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,57.286957,882.317444,2.163477""}",2025-06-17 08:26:44.562 -0300
104379,yts,1750130601,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,53.097298,860.927917,2.160592""}",2025-06-17 00:23:23.922 -0300
104575,yts,1750160201,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,57.635151,874.195679,2.163465""}",2025-06-17 08:36:44.533 -0300
104731,yts,1750183798,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,60.371513,869.739136,2.163720""}",2025-06-17 15:10:01.393 -0300
104271,yts,1750114204,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,72.885796,871.102356,2.166535""}",2025-06-16 19:50:07.154 -0300
104819,yts,1750197195,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,63.899590,872.854370,2.164504""}",2025-06-17 18:53:17.976 -0300
104579,yts,1750160802,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,62.157387,860.244080,2.163371""}",2025-06-17 08:46:44.668 -0300
104275,yts,1750114804,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,73.719139,871.368896,2.166564""}",2025-06-16 20:00:07.146 -0300
104735,yts,1750184398,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,57.552399,871.095032,2.163705""}",2025-06-17 15:20:01.694 -0300
104823,yts,1750197795,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,65.958778,859.578735,2.164560""}",2025-06-17 19:03:18.246 -0300
104279,yts,1750115404,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,73.271210,873.894226,2.166621""}",2025-06-16 20:10:07.069 -0300
104583,yts,1750161402,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,55.525414,876.328125,2.163396""}",2025-06-17 08:56:44.854 -0300
104383,yts,1750131201,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,48.915180,873.871460,2.160770""}",2025-06-17 00:33:23.718 -0300
104587,yts,1750162002,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,65.326477,871.786133,2.163997""}",2025-06-17 09:06:44.764 -0300
104739,yts,1750184999,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,59.383812,874.476318,2.163792""}",2025-06-17 15:30:02.029 -0300
104283,yts,1750116004,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,76.892693,868.984558,2.166693""}",2025-06-16 20:20:07.451 -0300
104743,yts,1750185599,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,62.029560,869.278259,2.163942""}",2025-06-17 15:40:01.804 -0300
